ID,Recipient_name,Recipient_glottocode,Recipient_iso639-3,Recipient_genus,Donor_name,Donor_glottocode,Donor_iso639-3,Donor_genus,reliability,number_of_interrelated_affixes,number_of_borrowed_affixes,Area,References,Adjectivizer_or_Adverbializer,Particle,Case_Suffixes,Noun,Nominalizer,Number_and_Numeral_Representations,Valency_Changing_Verbal_Suffixes,Verb
http://afbo.info/pairs/37,Istro‑Romanian,istr1245,ruo,Romance,Croatian,croa1245,hrv,Slavic,mid,8,8,Eurasia,"gardaniborrowing2008, salaproblema1988, hurrenverbal1969, holtusrumanisch1989, kovacecdescrierea1971, breuzur1992, boretzkymorphologische2004, rozencvejginterference1976, breuuberlegungen1996",0,0,0,0,0,0,0,8
http://afbo.info/pairs/39,Koasati,koas1236,cku,Muskogean,Quapaw,quap1242,qua,Siouan,mid,,1,North America,shipleyquapaw1988,0,0,0,0,0,1,0,0
http://afbo.info/pairs/40,Hasankeyf Arabic,nort3139,apc,Semitic,Aramaic,hert1241,hrt,Semitic,mid,,2,Eurasia,"jastrowmesopotamischarabischen1978, diemzum1971",0,0,0,0,0,1,0,1
http://afbo.info/pairs/41,Sri Lanka Portuguese,mala1544,,Romance,Tamil,tami1289,tam,Southern Dravidian,mid,,2,Eurasia,"nordhoffcurrent2013, smithsri2013",0,0,0,0,0,0,0,2
http://afbo.info/pairs/42,Kayardild,kaya1319,gyd,Taustralia & New Guineakic,Northern Nyungic,dese1234,,Pama-Nyungan,high,,1,Australia & New Guinea,"roundkayardild2010, evansgrammar1995",1,0,0,0,0,0,0,0
http://afbo.info/pairs/43,Sumerian,sume1241,sux,Sumerian,Akkadian,akka1240,akk,Semitic,mid,,1,Eurasia,,0,0,0,0,0,1,0,0
http://afbo.info/pairs/44,Torau,tora1259,ttu,Oceanic,Naasioi,naas1242,nas,East Bougainville,low,,1,Southeast Asia & Oceania,palmermetatypic2011,0,0,0,0,0,1,0,0
http://afbo.info/pairs/46,Indonesian,indo1316,ind,Malayic,Arabic,nort3139,apc,Semitic,high,,1,Southeast Asia & Oceania,"verhaarloanwords1984, purwoaffixation1984, tadmorloanwords20091",1,0,0,0,0,0,0,0
http://afbo.info/pairs/67,Maltese,malt1254,mlt,Semitic,Sicilian Italian,sici1248,scn,Romance,high,3,4,Eurasia,"gardaniborrowing2008, borgmaltese1997, gardaniplural2012, borgevolutionary1994",1,0,0,0,0,3,0,0
http://afbo.info/pairs/68,Kharia,khar1287,khr,Munda,Sadri,sadr1248,sck,Indic,mid,2,2,Eurasia,"petersongrammar2011, abbilanguages1997, abbimanual2001, abbilanguage1995",0,0,0,0,0,0,0,2
http://afbo.info/pairs/70,Ingrian Finnish,finn1318,fin,Finnic,Estonian,esto1258,est,Finnic,high,2,2,Eurasia,"riionheimomorfologinen2010, riionheimohow2002",0,0,0,0,0,0,0,2
