Language,Glottocode,Genus,Population,Latitude,Longitude,Macroarea
Chukchi,chuk1273,Northern Chukotko-Kamchatkan,5095,68.6436,170.045,Eurasia
Karrwa,gara1261,Garrwan,59,-17.45,137.72,Australia & New Guinea
Hindi,hind1269,Indic,528347193,25,77,Eurasia
Persian,west2369,Iranian,62000000,32.9,53.3,Eurasia
Komi‑Zyrian,komi1268,Finnic,285000,64.0527,54.946,Eurasia
Swedish,swed1254,Germanic,10000000,59.800634,17.389526,Eurasia
Yucuna and Cabiyarí,yucu1253,Arawakan,1800,-0.76075,-71.0033,South America
Latin,lati1261,Romance,2000,41.9026,12.4502,Eurasia
Moroccan Berber languages,atla1275,Berber,14000000,32.74,-2.41,Africa
Tibetan,tibe1272,Bodic,6000000,28.3681,90.1872,Eurasia
Eastern Tucanoan languages,east2698,Tucanoan,30000,0.58,-69.58,North America
Zoquean languages,zoqu1261,Mixe-Zoque,74000,17.22,-93.32,North America
Tibeto-Burman languages,brah1260,Baric,60000000,26.73,89.33,Eurasia
Portuguese,port1283,Romance,220000000,39.91,-8.1,Eurasia
Latvian,latv1249,Baltic,1300000,56.826108,24.309118,Eurasia
Quechua,nort2980,Quechuan,7700000,-11.2132,-75.8128,South America
Tajik,taji1245,Iranian,8100000,38.8213,68.5549,Eurasia
Chinese,mand1415,Chinese,1300000000,40.0209,116.228,Eurasia
Evenki,even1259,Tungusic,26580,61.972,94.689,Eurasia
Turkic,turk1311,Turkic,170000000,39.87,32.87,Eurasia
Lingala,ling1263,Bantoid,10000000,-4.409174,15.28532,Africa
Cushitic,,Eastern Cushitic,67200000,-0.85,39.95,Africa
North Swahili,swah1253,Bantoid,2000000,-8.25605,37.624,Africa
