Language_index,Language,Population,Count,Donor,Affix_num,Donor_index,Macroarea
1076.0,Mexicanero de la Sierra Madre Occidental,1300,1,Spanish,1,1103.0,North America
1077.0,Yucatec Maya,800000,1,Spanish,1,1103.0,North America
1078.0,Kedang,30000,1,Indonesian,1,1007.0,Southeast Asia & Oceania
1079.0,Iraqi Arabic,15700000,1,Turkish,4,1057.0,Eurasia
1080.0,Alabama and Choctaw‑Chickasaw,35000,1,Quapaw,1,1116.0,North America
1081.0,German,155000000,1,Latvian,1,1150.0,Eurasia
1082.0,Amuesha,8700,1,Quechua,3,1151.0,South America
1083.0,Moghol,200,1,Tajik,7,1152.0,Eurasia
1084.0,Dagur,96000,1,Chinese,1,1153.0,Eurasia
1084.0,Dagur,96000,1,Evenki,3,1154.0,Eurasia
1085.0,Hungarian,13000000,1,Croatian,1,1115.0,Eurasia
1086.0,Santa,200000,1,Chinese,7,1153.0,Eurasia
1087.0,Middle Mongolic,0,1,Turkic,6,1155.0,Eurasia
1088.0,Ndunga-le,2500,1,Lingala,4,1156.0,Africa
1089.0,Ilwana,17000,1,Cushitic,4,1157.0,Africa
1090.0,South Swahili,18000000,1,North Swahili,2,1158.0,Africa
1091.0,Central Mexicano Nahuatl,1700000,1,Spanish,3,1103.0,North America
1092.0,Bora,2400,2,,,,South America
1093.0,Gurindji,240,2,,,,Australia & New Guinea
1094.0,Russian,150000000,7,,,,Eurasia
1095.0,Mongolian,5200000,2,,,,Eurasia
1096.0,Romanian,26000000,2,,,,Eurasia
1097.0,Uzbek,27000000,2,,,,Eurasia
1098.0,Sanskrit,24821,2,,,,Eurasia
1099.0,Norman French,105300,2,,,,Eurasia
1100.0,Visayan,27500000,2,,,,Southeast Asia & Oceania
1101.0,Tigre,1000000,2,,,,Africa
1102.0,Bosnian/Croatian/Serbian,21000000,2,,,,Eurasia
1103.0,Spanish,586000000,8,,,,Eurasia
1104.0,Aymara,1700000,3,,,,South America
1105.0,Dutch,23000000,2,,,,Eurasia
1106.0,Greek,13000000,4,,,,Eurasia
1107.0,Libyan Arabic,6095000,2,,,,Africa
1108.0,Nunggubuyu,272,2,,,,Australia & New Guinea
1109.0,Carib,7430,2,,,,South America
1110.0,Chuvash,1042989,2,,,,Eurasia
1111.0,Nepali,16000000,3,,,,Eurasia
1112.0,Ilokano,8100000,2,,,,Southeast Asia & Oceania
1113.0,Kurdish,30000000,2,,,,Eurasia
1114.0,Kxoe languages,8000,2,,,,Africa
1115.0,Croatian,5600000,3,,,,Eurasia
1116.0,Quapaw,1,3,,,,North America
1117.0,Aramaic,850000,2,,,,Eurasia
1118.0,Tamil,76000000,2,,,,Eurasia
1119.0,Northern Nyungic,100,2,,,,Australia & New Guinea
1120.0,Akkadian,0,2,,,,Eurasia
1121.0,Naasioi,20000,2,,,,Southeast Asia & Oceania
1122.0,Arabic,422000000,3,,,,Eurasia
1123.0,Sicilian Italian,4700000,2,,,,Eurasia
1124.0,Sadri,5100000,2,,,,Eurasia
1125.0,Estonian,1100000,2,,,,Eurasia
1126.0,Swahili,150000000,2,,,,Africa
1127.0,Banjar Malay,1245825,2,,,,Southeast Asia & Oceania
1128.0,intermediate Proto‑Carib,30000,2,,,,South America
1129.0,English,1350000000,2,,,,South America
1130.0,Bulgarian,5400000,2,,,,Eurasia
1131.0,Makrān Baluchi,9000000,2,,,,Eurasia
1132.0,Malay,290000000,2,,,,Eurasia
1133.0,Warembori,600,2,,,,Southeast Asia & Oceania
1134.0,Farsi,110000000,2,,,,Eurasia
1135.0,Shua‑Tshwa,2000,2,,,,Africa
1136.0,Chukchi,5095,2,,,,Eurasia
1137.0,Karrwa,59,2,,,,Australia & New Guinea
1138.0,Hindi,528347193,3,,,,Eurasia
1139.0,Persian,62000000,4,,,,Eurasia
1140.0,Komi‑Zyrian,285000,2,,,,Eurasia
1141.0,Swedish,10000000,2,,,,Eurasia
1142.0,Yucuna and Cabiyarí,1800,2,,,,South America
1143.0,Latin,2000,2,,,,Eurasia
1144.0,Moroccan Berber languages,14000000,2,,,,Africa
1145.0,Tibetan,6000000,2,,,,Eurasia
1146.0,Eastern Tucanoan languages,30000,2,,,,North America
1147.0,Zoquean languages,74000,2,,,,North America
1148.0,Tibeto-Burman languages,60000000,2,,,,Eurasia
1149.0,Portuguese,220000000,2,,,,Eurasia
1150.0,Latvian,1300000,2,,,,Eurasia
1151.0,Quechua,7700000,2,,,,South America
1152.0,Tajik,8100000,2,,,,Eurasia
1153.0,Chinese,1300000000,3,,,,Eurasia
1154.0,Evenki,26580,2,,,,Eurasia
1155.0,Turkic,170000000,2,,,,Eurasia
1156.0,Lingala,10000000,2,,,,Africa
1157.0,Cushitic,67200000,2,,,,Africa
1158.0,North Swahili,2000000,2,,,,Africa
